06 · FILE INDEX,,,,,,,TECHNICAL
54 documentos-fonte + 2 artefatos de indice. Reconciliacao 54/56 e cobertura.,,,,,,,
OBJETIVO,Manter hash e papel predominante.,,,,,,
PROXIMA ACAO,Nenhuma.,,DONO,Leonardo,STATUS,WORKING,
,,,,,,,
RECONCILIACAO DE CONTAGEM (ADJ-1),,,,,,,
physical_file_count,,56,,,,,
source_document_count,,54,,,,,
instruction_file_count,,"2 (0.txt,1.txt em uploads)",,,,,
generated_or_system_count,,"2 (master_index.json, MASTER_INDEX.md)",,,,,
excluded_count,,"2 (artefatos de indice, com motivo)",,,,,
in_scope_count,,54,,,,,
,,,,,,,
file_id,Arquivo,Tipo,hash12,Linhas,Papel predominante,scope,cobertura_extracao
FILE-001,03DESKOSPLANILHAMESTRA.xlsx,XLSX,90a3b94d359d,150,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-002,03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx,XLSX,d463c87ca843,1683,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-003,2306_DADOS_ESTRUTURADOS_COMPLETO.xlsx,XLSX,068eecdaa550,167,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-004,99-TEMPLATE_CDM_OURO,TEXT,62f85e8e3bc7,474,TEMPLATE,IN_SCOPE,FULL
FILE-005,ASA_-_RATIONALE_.txt,TXT,4028780f2f6d,1338,CMD,IN_SCOPE,FULL
FILE-006,BUSINESS_GMT_RATIONAL_,TEXT,9f7be64c9de1,268,DECISION,IN_SCOPE,FULL
FILE-007,BUSINESS_PACK_.txt,TXT,10994f01cc64,824,BRD_MRD_PRD,IN_SCOPE,FULL
FILE-008,cluster_2_mercado_negocio_gtm_unificado.xlsx,XLSX,757a2ce87dbd,523,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-009,clusters_1_6_7_10_teses_hipoteses_validacao.xlsx,XLSX,fd1a95bef0d3,1126,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-010,CMD-OUTPUT-REQUIREMENTS-V2-EVOLVER.md,MD,9b97a116b686,534,CMD,IN_SCOPE,FULL
FILE-011,Context,TEXT,a25b9ae8ca7e,220,PROJECT_CONTEXT,IN_SCOPE,FULL
FILE-012,Contextos_adicionais_,TEXT,697f42450574,601,PROJECT_CONTEXT,IN_SCOPE,FULL
FILE-013,Continua_FAQ,TEXT,9cb4a1004dcd,59,FAQ,IN_SCOPE,FULL
FILE-014,copilottdahosworkbook.xlsx,XLSX,e2e4e135b69a,135,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-015,Customer_jorney_.txt,TXT,05804441092d,672,CUSTOMER_JOURNEY,IN_SCOPE,FULL
FILE-016,Desing_System_.txt,TXT,741df5e56b63,552,DESIGN_SYSTEM,IN_SCOPE,FULL
FILE-017,DESK-OS-YAML-CARD,TEXT,dffef0cead38,79,YAML_CARD,IN_SCOPE,FULL
FILE-018,DESKOSMastering.xlsx,XLSX,31a5860c053f,5014,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-019,ESPECIALISTA_AGENTE,TEXT,b954aee1223b,313,SPECIALIST,IN_SCOPE,FULL
FILE-020,ESPECIALISTA_RATIONALE,TEXT,89460569ff4e,630,SPECIALIST,IN_SCOPE,FULL
FILE-021,FAQ,TEXT,ec31f8d48bca,62,FAQ,IN_SCOPE,FULL
FILE-022,GTM_RATIONALE.txt,TXT,9f7be64c9de1,268,DECISION,IN_SCOPE,FULL
