07 · MATRIZ DE DOCUMENTOS POR PRODUTO,,,,,,,,,,,,
Cobertura documental (PRESENT/PARTIAL/EMBEDDED/MISSING) por produto. Sem inventar documentos.,,,,,,,,,,,,
OBJETIVO,Preencher lacunas com evidencia.,,,,,,,,,,,
PROXIMA ACAO,Validar produtos PROPOSED.,,DONO,Leonardo,STATUS,WORKING,,,,,,
product_id,EXECUTIVE_SUMMARY,VISION,BRD,MRD,PRD,TECHNICAL_SPECS,ROADMAP,BACKLOG,RISKS,DECISIONS,EVIDENCE,GTM
PRD-ASA,PRESENT,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PRESENT,PARTIAL,EMBEDDED,PARTIAL,PRESENT,PRESENT,EMBEDDED
PRD-TDAH-OS,PARTIAL,PARTIAL,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,PARTIAL,PARTIAL
PRD-COPILOTO-TDAH,EMBEDDED,MISSING,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,PRESENT,PRESENT,EMBEDDED,PRESENT,PRESENT,PRESENT
PRD-DESK-OS,PRESENT,PARTIAL,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PARTIAL,PRESENT
PRD-LEONARDO-OS,PRESENT,PARTIAL,PARTIAL,EMBEDDED,PARTIAL,PARTIAL,EMBEDDED,EMBEDDED,EMBEDDED,EMBEDDED,PARTIAL,EMBEDDED
PRD-COURSE-EXPRESS,EMBEDDED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
PRD-BUSINESS-SUITE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,MISSING,MISSING,MISSING,MISSING,MISSING,EMBEDDED,PARTIAL,PRESENT
,,,,,,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,,,,,,
