09 · COMANDOS E WORKFLOWS,,,,,,,
"Comandos, WFs e skills transversais (SHARED). Pharmacy permanece comando.",,,,,,,
OBJETIVO,Consolidar ativos do cluster.,,,,,,
PROXIMA ACAO,Validar inferencias.,,DONO,Leonardo,STATUS,WORKING,
item_id,item_name,program_id,product_id,item_type,status,authority,source_file
FILE-010,CMD-OUTPUT-REQUIREMENTS-V2-EVOLVER.md,,,CMD,CONFIRMED,WORKING,CMD-OUTPUT-REQUIREMENTS-V2-EVOLVER.md
FILE-013,Continua_FAQ,,,FAQ,PROPOSED,DRAFT,Continua_FAQ
FILE-023,ICPS-WORKFLOWS,,,ICP_WORKFLOWS,CONFIRMED,WORKING,ICPS-WORKFLOWS
FILE-031,PHARMACY_-_CMD,,,CMD,CONFIRMED,WORKING,PHARMACY_-_CMD
FILE-044,WF1.md,,,WF,PROPOSED,WORKING,WF1.md
FILE-045,WF2.md,,,WF,PROPOSED,WORKING,WF2.md
FILE-046,WF3.md,PRG-ASA,PRD-ASA,WF,PROPOSED,WORKING,WF3.md
FILE-047,WF4.md,PRG-ASA,PRD-ASA,WF,PROPOSED,WORKING,WF4.md
FILE-049,WF6.md,PRG-ASA,PRD-ASA,WF,PROPOSED,WORKING,WF6.md
FILE-052,Workflowagentico,,,WF_MASTER,CONFIRMED,WORKING,Workflowagentico
ITEM-002-S043,Skill_AI_Gov,PRG-ASA,PRD-ASA,SKILL,PROPOSED,WORKING,03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx
,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,
