11 · BUSINESS / GTM,,,,,,,
"Business Pack, GTM, PMF. Apoio a varios produtos; nao e programa.",,,,,,,
OBJETIVO,Consolidar ativos do cluster.,,,,,,
PROXIMA ACAO,Validar inferencias.,,DONO,Leonardo,STATUS,WORKING,
item_id,item_name,program_id,product_id,item_type,status,authority,source_file
FILE-006,BUSINESS_GMT_RATIONAL_,PRG-SMALL-BUSINESS,,DECISION,CONFIRMED,DUPLICATE_COPY,BUSINESS_GMT_RATIONAL_
FILE-008,cluster_2_mercado_negocio_gtm_unificado.xlsx,PRG-SMALL-BUSINESS,,WORKBOOK,PROPOSED,WORKING,cluster_2_mercado_negocio_gtm_unificado.xlsx
FILE-022,GTM_RATIONALE.txt,PRG-SMALL-BUSINESS,,DECISION,CONFIRMED,APPROVED,GTM_RATIONALE.txt
ITEM-008-S020,00_RESUMO,PRG-SMALL-BUSINESS,,WORKBOOK,PROPOSED,WORKING,cluster_2_mercado_negocio_gtm_unificado.xlsx
ITEM-008-S021,01_CLUSTER_2_UNIFICADO,PRG-SMALL-BUSINESS,,WORKBOOK,PROPOSED,WORKING,cluster_2_mercado_negocio_gtm_unificado.xlsx
ITEM-008-S022,02_CRITERIOS,PRG-SMALL-BUSINESS,,WORKBOOK,PROPOSED,WORKING,cluster_2_mercado_negocio_gtm_unificado.xlsx
ITM-MEM-006,INIT-GTM-SHOWROOM,,,INITIATIVE,PROPOSED,DRAFT,
ITM-MEM-007,INIT-AGENCY-KIT,,,INITIATIVE,PROPOSED,DRAFT,
ITM-MEM-008,MODULE-M1,,,MODULE,REVIEW_REQUIRED,DRAFT,
ITM-MEM-009,MODULE-M2,,,MODULE,REVIEW_REQUIRED,DRAFT,
ITM-MEM-010,MODULE-M5,,,MODULE,REVIEW_REQUIRED,DRAFT,
,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,
